code accident;date;mois;ann‚e;horaire;heure;d‚partement;commune;massif;site;latitude;longitude;altitude;inclinaison;orientation;groupe;emport‚s;"ensevelis 
tˆte";"ensevelis 
total";"ensevelis partiels 
critiques";"ensevelis partiels 
non critiques";d‚c‚d‚s;bless‚es;indemnes;activit‚;"engin 
progression";‚volution;BRA;"qualit‚ 
neige";"coh‚sion
neige";"type 
d‚part";cause d‚part;"d‚nivel‚
(mŠtres)";"largeur 
cassure
(mŠtres)";"‚paisseur
cassure max.  
(cm)";;;
1314-05-11;08/03/2014;3;2014;14:00;14;5;villar arene;oisans;passe de midi;45.034147;6.350984;;;NE;2;1;0;0;0;0;0;1;0;randonn‚e;ski;;;;;lin‚aire;accidentelle soi-mˆme;;;;;;
1314-38-01;26/01/2014;1;2014;14:40;14;38;auris;grandes rousses;combe des girauds;45.03926;6.05497;2000;30-34;S;2;2;2;2;0;0;2;0;0;hors-piste;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;250;120;60;;;
1213-38-04;20/01/2013;1;2013;13:50;13;38;auris en oisans;grandes rousses;signal de l'homme;45.03931;6.04543;1790;35-39;SO;6;3;3;3;0;0;0;1;2;hors-piste;;descente;3;humide;dure;lin‚aire;accidentelle soi-mˆme;60;30;20;;;
1415-38-02;07/02/2015;2;2015;15:00;15;38;Freney d'Oisans;grandes rousses;grandes buffes;45.04065;6.06307;1970;35-39;O;1;1;0;0;0;0;0;0;1;randonn‚e;ski;mont‚e;;sŠche;;lin‚aire;accidentelle soi-mˆme;;40;40;;;
1415-38-01;28/01/2015;1;2015;12:20;12;38;villards de lans;vercors;combe chaulange;45.04126;5.36163;1870;35-39;SO;18;3;1;1;0;2;1;0;2;randonn‚e;ski;mont‚e;2;sŠche;dure;lin‚aire;accidentelle soi-mˆme;170;200;250;;;
1314-15-01;29/03/2014;3;2014;14:00;14;15;la vigerie;lioran;puy bataillouse;45.060575;2.432183;1540;40-44;N;1;1;0;0;0;1;0;1;0;randonn‚e;ski;mont‚e;;humide;dure;lin‚aire;accidentelle soi-mˆme;50;20;25;;;
1213-05-10;15/03/2013;3;2013;13:30;13;5;monetier les bains;oisans;route du galibier;45.064819;6.404939;;;;3;3;0;0;0;0;0;1;2;randonn‚e;;mont‚e;;sŠche;;lin‚aire;accidentelle soi-mˆme;;;;;;
1415-05-05;06/02/2015;2;2015;;;5;le monetier les bains;thabor;ruisseau rif blanc;45.068967;6.230450;;;;3;1;0;0;0;0;0;1;0;randonn‚e;ski;;;;;;;;;;;;
1314-38-02;27/01/2014;1;2014;12:40;12;38;chamrousse;belledonne;piste lacs roberts;45.07682;5.54499;2170;30-34;SE;4;1;1;0;1;0;0;1;0;hors-piste;ski;arrˆt;3;sŠche;dure;lin‚aire;accidentelle tiers;50;100;100;;;
1314-05-05;25/01/2014;1;2014;17:00;17;5;n‚vache;thabor;pointe riou blanc;45.078182;6.492358;;;;6;1;1;1;0;0;0;1;0;randonn‚e;ski;;;;;lin‚aire;accidentelle soi-mˆme;;;;;;
1213-38-09;17/04/2013;4;2013;;;38;le freney d'oisans;grandes rousses;proche refuge sarenne;45.088989;6.145669;;35-39;S;2;2;1;1;0;1;0;2;0;voie de communication;;travers‚e;;humide;dure;lin‚aire;naturelle;100;;;;;
1213-73-11;20/02/2013;2;2013;10:00;10;73;valloire;maurienne;camp des rochilles;45.089729;6.466290;2510;30-34;O;22;2;1;1;0;1;1;0;1;entrainement militaire descente couloir;;descente;;sŠche;dure;lin‚aire;accidentelle soi-mˆme;110;20;60;;;
1213-73-15;06/03/2013;3;2013;11:00;11;73;modane;maurienne;vall‚e perdue valfr‚jus;45.09269;6.39255;2200;30-34;NO;2;2;0;0;0;2;0;2;0;hors-piste;;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;70;150;100;;;
1314-38-03;31/01/2014;1;2014;15:50;15;38;revel;belledonne;grand colon face ouest;45.09680;5.55219;2165;30-34;O;2;1;1;1;0;0;1;0;0;randonn‚e;ski;descente;2;sŠche;dure;lin‚aire;accidentelle tiers;720;30;30;;;
1718-73-08;09/01/2018;1;2018;14:30;14;73;valmeinier;haute maurienne;piste verte lauze balise 30 31;45.1038 ; 6.3114;2610;>45;O;12;1;1;0;1;0;0;1;0;piste;ski;descente;;sŠche;;lin‚aire;naturelle;270;50;30;;;
1011-73-08;26/02/2011;2;2011;11:30;11;73;montricher albanne;maurienne;col du pertuite grande chible;45.10429;6.23096;2500;30-34;NE;2;1;0;;;;0;0;1;randonn‚e;;descente;2;sŠche;dure;lin‚aire;accidentelle soi-mˆme;50;100;70;;;
1718-38-16;28/12/2017;12;2017;13:45;13;38;la combe de lancey;belledonne;lac de la sitre;45.1052 ; 5.575;2120;35-39;SO;2;1;0;0;0;0;0;1;0;randonn‚e;raquettes;travers‚e;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;;;;;;
1112-38-03;17/02/2012;2;2012;14:05;14;38;vaujany;grandes rousses;rissiou;45.10730;6.04903;2050;35-39;SE;4;1;1;1;0;0;0;1;0;randonn‚e;;mont‚e;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;30;40;100;;;
1213-38-07;07/04/2013;4;2013;11:45;11;38;allemond;belledonne;col de roche noire;45.11098;5.59209;2600;40-44;E;50;3;0;0;0;3;0;1;2;randonn‚e;;mont‚e;;humide;dure;lin‚aire;naturelle s‚rac/corniche;300;75;400;;;
1617-73-07;28/01/2017;1;2017;16:17;16;73;montricher albane;maurienne;combe des sallanches;45.11494;6.232114;2460;35-39;NE;2;1;0;0;0;1;0;1;0;randonn‚e;ski;descente;3;sŠche;;lin‚aire;accidentelle tiers;220;20;40;;;
1415-38-06;05/03/2015;3;2015;13:00;13;38;allemond;belledonne;col de roche noire;45.11774;5.592636;2500;30-34;NE;2;1;1;1;0;0;0;0;1;randonn‚e;ski;;;sŠche;;lin‚aire;accidentelle soi-mˆme;;;;;;
1718-38-10;04/03/2018;3;2018;10:45;10;38;saint agnŠs;belledonne;lac de crop;45.1230 ; 5.5930;2000;40-44;NO;2;2;1;1;0;1;0;1;1;randonn‚e;ski;mont‚e;;sŠche;dure;lin‚aire;accidentelle soi-mˆme;60;40;60;;;
1112-73-01;01/02/2012;2;2012;10:25;10;73;valloire;maurienne;combe aiguille noire;45.123150;6.459169;;;;19;10;6;6;0;0;1;5;4;randonn‚e;;travers‚e;2;sŠche;;lin‚aire;accidentelle soi-mˆme;;;;;;
1112-38-04;23/03/2012;3;2012;12:10;12;38;sainte agnes;belledonne;ferrouillet;45.12360;5.59590;2200;35-39;N;2;1;1;0;1;0;0;1;0;randonn‚e;;descente;2;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;80;80;80;;;
1718-05-05;02/03/2018;3;2018;17:15;17;5;la grave;oisans;couloir d'orciŠres;45.124 ; 6.1533;2400;40-44;NO;4;1;1;1;0;0;1;0;0;hors-piste;ski;descente;4;sŠche;tendre;lin‚aire;naturelle;840;;;;;
1112-38-05;20/04/2012;4;2012;15:45;15;38;vaujany;grandes rousses;couloir perrin;45.1317004258058;6.10201965623362;2600;40-44;O;2;1;1;0;1;0;0;0;1;hors-piste;;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;100;50;40;;;
1516-73-01;05/01/2016;1;2016;13:58;13;73;saint colomban les villards;maurienne;pierre du turc / crˆte de tˆte bellard;45.1509;6.1326;2150;40-44;NO;2;1;1;1;0;0;1;0;0;hors-piste;ski;descente;4;;;lin‚aire;accidentelle soi-mˆme;290;50;;;;
1314-73-23;04/05/2014;5;2014;;;73;orelle;maurienne;roche des marches;45.151964;6.551352;;;;1;1;0;0;0;0;0;0;1;randonn‚e;ski;;;;;lin‚aire;naturelle s‚rac/corniche;;;;;;
1415-73-08;31/01/2015;1;2015;;;73;aussois;vanoise;ruisseau de la fournache;45.155509;6.434225;2370;30-34;S;1;1;1;1;0;0;1;0;0;relev‚s EDF / d‚placement ski de rando;ski;mont‚e;4;sŠche;;lin‚aire;accidentelle soi-mˆme;50;50;80;;;
1011-73-04;10/12/2010;12;2010;15:00;15;73;orelle;vanoise;hors-piste sous cime caron;45.1579;6.33327;2820;30-34;S;9;4;0;;;;0;1;3;hors-piste;;travers‚e;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;200;80;80;;;
1415-73-02;22/12/2014;12;2014;12:35;12;73;modane;vanoise;lac de chaviŠre;45.161070;6.380940;3100;35-39;SE;5;2;1;1;0;1;1;0;1;randonn‚e;ski;descente;2;sŠche;dure;lin‚aire;accidentelle soi-mˆme;300;25;100;;;
1718-73-05;02/01/2018;1;2018;14:10;14;73;lanslebourg;haute maurienne;montagne de montfroid;45.164 ; 6.527;2290;35-39;N;6;2;1;1;0;1;0;1;1;hors-piste;snowboard;travers‚e;3;sŠche;dure;lin‚aire;accidentelle tiers;120;50;80;;;
1617-73-11;16/02/2017;2;2017;11:00;11;73;lanslevillard;haute maurienne;secteur pas de l'arcelle;45.164538;6.570931;2450;35-39;NE;9;5;0;0;0;5;0;0;5;randonn‚e;ski;travers‚e;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;160;200;70;;;
1314-73-16;26/01/2014;1;2014;10:05;10;73;modane;haute maurienne;couloir du seuil valfr‚jus;45.16467481880298;6.665579904872608;2200;35-39;NE;3;2;0;0;0;0;0;1;1;hors-piste;ski;travers‚e;;sŠche;;lin‚aire;accidentelle soi-mˆme;140;;;;;
1314-73-25;04/05/2014;5;2014;11:15;11;73;bessans;haute maurienne;face ouest pointe charbonnel;45.164826;7.3439;3600;>45;O;1;1;0;0;0;0;1;0;0;alpinisme;… pieds;mont‚e;;humide;;lin‚aire;accidentelle soi-mˆme;500;100;50;;;
1314-73-22;29/04/2014;4;2014;11:30;11;73;modane;haute maurienne;couloir sud aiguille peclet;45.16514;6.37269;3490;35-39;S;6;4;0;0;0;4;0;4;0;randonn‚e;… pieds;mont‚e;2;humide;dure;lin‚aire;accidentelle soi-mˆme;110;70;100;;;
1314-73-05;27/12/2013;12;2013;09:55;9;73;saint martin belleville;vanoise;boismint val thorens;45.165389;6.331406;2540;35-39;E;6;3;1;1;0;1;0;1;2;hors-piste;ski;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;100;50;40;;;
1718-38-14;18/03/2018;3;2018;11:45;11;38;sarcenas;chartreuse;chamechaude couloir folatiŠre;45.1712 ; 5.4714;2040;35-39;O;4;3;0;0;0;0;1;1;1;randonn‚e;ski;descente;2;sŠche;;lin‚aire;accidentelle soi-mˆme;280;;;;;
1213-73-24;14/04/2013;4;2013;;;73;aussois;vanoise;chaise aux papes / dent parrach‚e;45.17182;6.45138;3600;30-34;SE;;6;6;6;0;0;3;3;0;randonn‚e;;mont‚e;3;sŠche;dure;lin‚aire;accidentelle tiers;400;400;;;;
1213-73-06;30/01/2013;1;2013;11:30;11;73;sainte marie de cuines;maurienne;crˆte de la raverotte;45.17349;6.16471;2000;30-34;NO;4;2;0;0;0;2;0;2;0;randonn‚e;;travers‚e;;humide;dure;lin‚aire;accidentelle soi-mˆme;600;40;50;;;
1617-73-16;05/05/2017;5;2017;;;73;avrieux;haute maurienne;face NO aiguille scolette;45.177906;6.728051;;;;2;2;0;0;0;0;0;1;1;randonn‚e;;;;;;lin‚aire;accidentelle soi-mˆme;;;;;;
1314-73-02;26/10/2013;10;2013;13:30;13;73;pralognan;vanoise;passage de rosoire;45.18056;6.43584;3450;>45;O;2;2;0;0;0;2;0;1;1;alpinisme;… pieds;mont‚e;;sŠche;dure;lin‚aire;accidentelle soi-mˆme;150;100;80;;;
1718-38-02;02/12/2017;12;2017;;;38;saint pancrasse;chartreuse;pas de l'oeille dent de crolles;45.1831 ; 5.518;1910;40-44;SO;1;1;0;0;0;0;1;0;0;randonn‚e;ski;descente;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;50;;;;;
1718-38-07;24/02/2018;2;2018;09:30;9;38;pinsot;belledonne;refuge de l'oule;45.1838 ; 6.817;2035;35-39;N;2;1;0;0;0;1;0;1;0;randonn‚e;ski;mont‚e;;;;lin‚aire;accidentelle soi-mˆme;160;;;;;
1011-38-01;05/12/2010;12;2010;11:45;11;38;st pierre de chartreuse;chartreuse;col des ayes;45.18397;5.50239;1570;35-39;NE;3;3;3;;;;3;0;0;randonn‚e;;mont‚e;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;100;25;50;;;
1516-73-18;05/04/2016;4;2016;10:30;10;73;bessans;haute maurienne;piste noire de fond Barmette / couloir issu pointe de Tierce;45.1857;7.021;1970;35-39;NO;12;7;0;0;0;3;0;2;5;piste;ski;arrˆt;3;humide;tendre;lin‚aire;naturelle;220;30;120;;;
1314-73-03;22/12/2013;12;2013;11:15;11;73;pralognan;vanoise;entre chalet ritort et rosoire, lit du ruisseau du ritort;45.18661;6.41137;2150;35-39;NO;2;2;1;1;0;0;1;0;1;randonn‚e;ski;descente;1;sŠche;;lin‚aire;accidentelle soi-mˆme;150;80;50;;;
1415-73-03;30/12/2014;12;2014;15:00;15;73;les allues;vanoise;lac de la chambre;45.190285;6.352517;2720;40-44;NO;2;1;1;1;0;0;1;0;0;hors-piste;ski;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;170;400;40;;;
1415-38-05;28/02/2015;2;2015;10:10;10;38;saint pierre de chartreuse;charteuse;combe ouest charmant som;45.19370;5.45413;1690;30-34;O;7;1;1;1;0;0;1;0;0;randonn‚e;ski;descente;2;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;105;;10;;;
1314-73-26;04/05/2014;5;2014;11:00;11;73;bessans;haute maurienne;selle de l'albaron;45.194424;7.062485;3430;40-44;SO;3;1;1;1;0;0;1;0;0;randonn‚e;ski;descente;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;310;200;100;;;
1617-73-09;12/02/2017;2;2017;14:55;14;73;le chatel;vanoise;la barniŠre;45.19464;6.22149;1490;;;5;1;0;0;0;0;0;0;1;randonn‚e;;;3;;;lin‚aire;accidentelle soi-mˆme;;;;;;
1516-73-09;20/01/2016;1;2016;12:25;12;73;les allues;vanoise;crˆte roc des trois/mont de la chambre versant est;45.1958;6.3421;2650;>45;E;2;1;1;1;0;0;0;1;0;hors-piste;ski;descente;3;sŠche;;lin‚aire;accidentelle soi-mˆme;130;180;200;;;
1011-73-10;04/03/2011;3;2011;;;73;villarodin bourget;maurienne;station la norma;45.198973;6.697610;;;;2;1;0;;;;0;1;0;hors-piste;;descente;3;;;;;;;;;;
1617-73-17;09/05/2017;5;2017;11:00;11;73;bonneval sur arc;haute maurienne;col du greffier couloir;45.204138;7.54464;2990;>45;NO;3;3;0;0;0;3;3;0;0;alpinisme;… pieds;mont‚e;;sŠche;dure;lin‚aire;accidentelle soi-mˆme;350;40;100;;;
1516-73-16;15/02/2016;2;2016;16:25;16;73;bonneval sur arc;haute maurienne;pointe d'andagne;45.205578;7.33119;3000;40-44;O;4;1;1;1;0;0;0;1;0;hors-piste;ski;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;125;150;100;;;
1213-73-22;01/04/2013;4;2013;14:00;14;73;les allues;vanoise;aiguille du fruit;45.21128;6.37495;2900;>45;NO;3;2;0;0;0;0;0;2;0;randonn‚e;;mont‚e;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;600;10;;;;
1314-73-12;10/01/2014;1;2014;12:00;12;73;bonneval;haute maurienne;ouille mouta;45.214802;7.45146;2635;40-44;NO;2;1;1;1;0;0;0;1;0;randonn‚e;ski;travers‚e;2;sŠche;;lin‚aire;accidentelle soi-mˆme;300;120;80;;;
1617-73-05;19/01/2017;1;2017;11:50;11;73;saint bon tarentaise;vanoise;col du biol;45.224452;6.411404;2430;30-34;O;15;1;1;1;0;0;0;0;1;randonn‚e;ski;travers‚e;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;120;50;30;;;
1516-73-13;27/01/2016;1;2016;11:38;11;73;saint bon courchevel;vanoise;couloir du ruisseau de la planche / vall‚e des avanchers;45.225;6.3939;2490;30-34;NE;9;4;0;0;0;1;0;1;3;hors-piste;ski;descente;2;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;;50;30;;;
1112-38-02;17/02/2012;2;2012;08:25;8;38;saint pierre de chartreuse;chartreuse;combe bovinant;45.225235;5.485264;1774;35-39;O;1;1;1;1;0;0;0;1;0;randonn‚e;;mont‚e;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;165;25;40;;;
1213-73-12;26/02/2013;2;2013;16:40;16;73;pralognan;vanoise;cirque du petit arcellin;45.23017;6.45689;2100;30-34;NO;1;1;0;0;0;1;0;1;0;randonn‚e;;travers‚e;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;80;20;20;;;
1213-38-01;13/12/2012;12;2012;12:45;12;38;saint christophe sur guiers;chartreuse;col de l‚chaud;45.23203;5.48382;1680;30-34;NO;2;2;2;2;0;0;1;1;0;randonn‚e;;mont‚e;;sŠche;dure;lin‚aire;accidentelle soi-mˆme;100;90;;;;
1314-73-11;09/01/2014;1;2014;12:30;12;73;valloire;maurienne;crˆte de lachat;45.232596;6.374632;2840;40-44;NO;3;3;0;0;0;0;0;2;1;randonn‚e;ski;mont‚e;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;290;;;;;
1718-38-01;02/12/2017;12;2017;;;38;saint christophe sur guiers;chartreuse;combe de l'ours petit som;45.235 ; 5.4835;1670;35-39;SO;2;2;2;2;0;0;2;0;0;randonn‚e;ski;mont‚e;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;125;;;;;
1718-73-04;30/12/2017;12;2017;16:00;16;73;val d'isere;haute tarentaise;face ouest pelaou blanc;45.2352 ; 6.5956;2740;35-39;SO;4;2;2;1;1;0;1;0;1;randonn‚e;ski;mont‚e;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;200;100;40;;;
1718-73-06;03/01/2018;1;2018;16:00;16;73;bonneval sur arc;haute tarentaise;l‚charenne pont de la lama;45.236 ; 7.424;2500;35-39;SE;1;1;1;1;0;0;1;0;0;habitation;… pieds;arrˆt;4;sŠche;;lin‚aire;naturelle;600;450;;;;
1718-73-10;05/02/2018;2;2018;13:35;13;73;pralognan la vanoise;vanoise;couloir de l'eau;45.239 ; 6.4459;1890;30-34;SO;4;1;1;1;0;0;0;0;1;minage;ski;arrˆt;2;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;30;20;15;;;
1718-73-14;01/03/2018;3;2018;09:05;9;73;pralognan la vanoise;vanoise;couloir de l'eau;45.239 ; 6.4457;1890;30-34;SO;2;1;0;0;0;0;0;1;0;minage;ski;arrˆt;2;sŠche;dure;lin‚aire;accidentelle soi-mˆme;60;20;15;;;
1213-73-25;02/05/2013;5;2013;10:25;10;73;pralognan;vanoise;grands couloirs grande casse;45.2416;6.49012;3530;>45;O;4;3;1;1;0;2;1;2;0;alpinisme;;mont‚e;;humide;dure;lin‚aire;accidentelle soi-mˆme;500;350;50;;;
1314-73-21;15/04/2014;4;2014;13:15;13;73;val isere;haute tarentaise;ruisseau du pisset;45.24244;6.57450;2375;35-39;NO;7;2;0;0;0;1;0;1;1;hors-piste;ski;descente;2;sŠche;dure;lin‚aire;accidentelle soi-mˆme;250;125;100;;;
1314-38-04;06/03/2014;3;2014;13:45;13;38;la ferriŠre d'allevard;belledonne;couloir NO rocher blanc;45.242475;6.107202;;;;3;1;0;0;0;0;0;1;0;randonn‚e;ski;descente;3;;;lin‚aire;accidentelle soi-mˆme;;;;;;
1516-38-04;24/04/2016;4;2016;11:00;11;38;laval;belledonne;cime de la jasse est;45.243166;6.032578;2300;30-34;SE;9;5;3;2;1;1;0;0;5;randonn‚e;ski;mont‚e;;;;lin‚aire;accidentelle soi-mˆme;;;;;;
1516-73-15;13/02/2016;2;2016;12:55;12;73;la perriŠre;vanoise;les lanches;45.2440;6.3555;2150;40-44;N;1;1;1;0;1;0;1;0;0;hors-piste;ski;descente;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;380;50;;;;
1415-73-16;03/03/2015;3;2015;12:00;12;73;orelle;vanoise;face ouest col r‚nod;45.247371;6.607098;;;SO;4;1;1;1;0;0;1;0;0;hors-piste;ski;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;;100;;;;
1011-73-03;09/12/2010;12;2010;12:37;12;73;val isŠre;haute tarentaise;charvet couloir des pisteurs;45.25399;6.57133;2650;>45;N;2;2;1;;;;1;1;0;hors-piste;;descente;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;300;3;100;;;
1011-73-05;26/12/2010;12;2010;09:34;9;73;val isŠre;haute tarentaise;combe du signal;45.25475;7.01406;2740;40-44;N;4;2;2;;;;1;0;1;hors-piste;;travers‚e;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;100;50;140;;;
1718-73-12;18/02/2018;2;2018;12:35;12;73;val d'isere;haute tarentaise;piste rouge combe du g‚ant / pisaillas;45.2548 ; 7.0247;3050;>45;S;7;3;2;2;0;0;2;0;1;hors-piste;ski;descente;3;humide;tendre;lin‚aire;naturelle;200;500;80;;;
1415-73-17;29/03/2015;3;2015;11:45;11;73;bonneval sur arc;haute maurienne;col du montet;45.25577;7.05378;3200;40-44;S;9;5;2;1;1;2;1;0;4;randonn‚e;ski;mont‚e;2;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;60;20;;;;
1011-73-07;11/01/2011;1;2011;11:03;11;73;val isŠre;haute tarentaise;pointe du grand vallon;45.26389;7.02166;2700;35-39;N;7;5;4;;;;4;0;1;hors-piste;;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;700;70;80;;;
1516-73-03;05/01/2016;1;2016;10:24;10;73;val d'isere;haute tarentaise;HP du Cairn / Bellevarde;45.2639;6.5717;2650;40-44;E;3;3;2;2;0;0;0;1;2;hors-piste;ski;travers‚e;4;sŠche;;lin‚aire;accidentelle soi-mˆme;80;70;;;;
1314-73-10;07/01/2014;1;2014;11:00;11;73;champagny;vanoise;col des v‚s;45.264262;6.514138;2830;35-39;NO;4;1;0;0;0;0;0;1;0;hors-piste;ski;descente;3;sŠche;;lin‚aire;accidentelle soi-mˆme;310;50;100;;;
1617-73-13;07/03/2017;3;2017;09:45;9;73;tignes;haute tarentaise;grande balme piste Carline;45.264309;6.53877;2650;40-44;N;33;33;6;1;5;14;0;2;31;piste;ski;descente;4;sŠche;tendre;lin‚aire;naturelle;350;120;200;;;
1718-73-11;18/02/2018;2;2018;12:06;12;73;‚pierre;maurienne;faux gros villan;45.2644 ; 6.2101;2550;40-44;NO;4;1;0;0;0;0;0;0;1;randonn‚e;ski;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;130;25;30;;;
1213-73-08;08/02/2013;2;2013;;;73;saint martin de belleville (val thorens);vanoise;cime caron;45.264974;6.560541;;;;3;3;0;0;0;0;0;0;3;hors-piste;;descente;;;;;;;;;;;
1718-73-02;13/12/2017;12;2017;12:44;12;73;tignes;haute tarentaise;pointe de fresse / campanules;45.2655 ; 6.5524;2550;35-39;SE;2;1;1;1;0;0;0;1;0;hors-piste;ski;descente;3;sŠche;dure;lin‚aire;accidentelle tiers;80;40;90;;;
1516-73-05;13/01/2016;1;2016;13:54;13;73;tignes;haute tarentaise;pentes du lac de Tignes;45.2751;6.5438;2205;35-39;NO;1;1;0;0;0;1;0;1;0;hors-piste;ski;descente;4;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;125;80;100;;;
1011-73-20;16/05/2011;5;2011;09:35;9;73;orelle;vanoise;col de gebroulaz;45.275374;6.633508;3434;30-34;E;1;1;0;;;;0;0;1;randonn‚e;;mont‚e;;sŠche;dure;lin‚aire;accidentelle soi-mˆme;150;200;;;;
1617-73-10;13/02/2017;2;2017;10:35;10;73;tignes;haute-tarentaise;pentes du lavachet;45.275474;6.55635;2450;40-44;NO;4;4;4;4;0;0;4;0;0;hors-piste;… pieds;travers‚e;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;330;50;100;;;
1213-73-23;01/04/2013;4;2013;;;73;saint martin de belleville (val thorens);vanoise;face ouest aiguille des st pŠres;45.276851;6.615063;2800;;O;3;1;0;0;0;0;0;1;0;hors-piste;;descente;;;;lin‚aire;accidentelle soi-mˆme;;;;;;
1213-73-16;06/03/2013;3;2013;11:30;11;73;tignes;haute tarentaise;couloir bois de la laye;45.28134;6.55355;2200;35-39;N;2;2;2;1;1;0;2;0;0;hors-piste;;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;360;100;80;;;
1314-73-27;18/05/2014;5;2014;12:30;12;73;bessans;haute maurienne;pointe charbonnel;45.281573;7.055510;;;NE;2;2;1;0;1;0;1;0;1;randonn‚e;ski;descente;;humide;tendre;;naturelle;;;;;;
1617-73-20;01/03/2017;3;2017;15:00;15;73;lanslevillard;haute maurienne;pas du loup;45.289555;6.971788;2250;>45;;3;1;0;0;0;0;0;1;0;randonn‚e;ski;descente;;sŠche;;lin‚aire;accidentelle soi-mˆme;;;;;;
1314-73-19;06/03/2014;3;2014;10:40;10;73;peisey;vanoise;nord bellecote;45.294372;6.463949;3150;40-44;N;3;1;0;0;0;0;1;0;0;hors-piste;ski;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;;30;30;;;
1415-73-14;07/02/2015;2;2015;13:03;13;73;peisey nancroix;vanoise;couloir des canadiens face nord bellecote;45.29544;6.461599;3050;40-44;NO;3;1;1;0;1;0;1;0;0;hors-piste;ski;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;1250;30;50;;;
1112-73-04;09/04/2012;4;2012;11:30;11;73;pralognan;haute maurienne;combe de rosoire;45.295507;6.704494;3200;;NO;7;3;0;0;0;0;0;0;3;randonn‚e;;mont‚e;2;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;300;;;;;
1314-73-08;05/01/2014;1;2014;14:05;14;73;macot;vanoise;crˆte des bourtes;45.2956;6.4259;2350;35-39;NO;2;2;1;1;0;1;0;0;2;hors-piste;ski;descente;4;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;250;30;100;;;
1213-73-18;19/03/2013;3;2013;15:55;15;73;saint martin de belleville (val thorens);vanoise;lac du lou;45.296249657563365;6.5349031310654055;1990;40-44;NO;5;1;1;1;0;0;0;1;0;hors-piste;;descente;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;15;30;80;;;
1112-73-06;17/04/2012;4;2012;19:00;19;73;saint martin de belleville;vanoise;mont du borgne;45.30192848402022;6.6063281767692645;2950;40-44;NO;3;1;1;1;0;0;1;0;0;randonn‚e;;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;200;180;100;;;
1112-73-07;17/04/2012;4;2012;19:00;19;73;saint martin de belleville;vanoise;mont du borgne;45.30192848402022;6.6063281767692645;2950;40-44;NO;3;1;0;0;0;1;0;0;1;randonn‚e;;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;400;;100;;;
1011-73-06;14/12/2010;12;2010;12:50;12;73;tignes;haute tarentaise;grande combe / grande sassiŠre;45.30222;6.58336;3100;35-39;SO;7;1;1;;;;1;0;0;randonn‚e;;mont‚e;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;150;50;60;;;
1314-73-04;26/12/2013;12;2013;11:00;11;73;aime;vanoise;dos des frasses;45.302779;6.394068;2245;35-39;N;2;1;1;1;0;0;1;0;0;hors-piste;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;145;;125;;;
1011-73-13;18/03/2011;3;2011;13:00;13;73;m‚ribel;vanoise;mont du vallon lac du borgne;45.310845;6.641132;;;;;1;1;;;;1;0;0;hors-piste;;descente;3;sŠche;tendre;lin‚aire;;;;;;;
